Timestamp,eyecolor,haircolor,glasses,sex,1st semester,2nd semester,3rd semester,4th semester,1st semester,2nd semester,3rd semester,4th semester,1st semester,2nd semester,3rd semester,4th semester
05/08/2019 12:02:54,blue,blond,yes,Female,2,5,7,10,1,6,8,9,1,5,7,9
05/08/2019 12:03:17,brown,black,yes,Female,1,4,8,10,1,4,4,10,4,7,8,9
05/08/2019 12:03:35,blue,blond,no,Male,1,2,5,6,1,2,5,10,2,5,7,8
05/08/2019 15:48:55,brown,brown,yes,Male,5,7,8,9,4,5,6,7,5,8,9,8
05/08/2019 15:52:31,brown,black,no,Male,2,4,6,8,2,3,7,8,3,9,9,10
05/08/2019 16:34:43,blue,blond,no,Male,3,6,7,10,2,7,8,10,1,5,6,8
05/08/2019 16:40:41,black,black,no,Male,8,10,10,10,4,8,9,9,2,10,10,10
05/08/2019 16:43:55,black,black,no,Female,2,6,8,9,1,3,5,7,2,9,6,7
05/08/2019 17:13:22,blue,brown,yes,Male,5,7,7,7,2,5,5,5,3,6,6,6
05/08/2019 17:13:43,brown,brown,yes,Male,4,5,7,8,3,6,7,8,6,8,8,9
05/08/2019 17:45:36,blue,blond,no,Male,4,6,8,9,2,4,6,8,2,3,4,5
05/08/2019 18:15:57,blue,brown,yes,Male,7,8,9,10,4,5,6,7,7,8,9,9
05/08/2019 18:19:57,black,black,no,Female,2,7,9,9,1,8,8,9,2,3,8,8
05/08/2019 18:35:01,brown,brown,yes,Male,4,6,8,8,2,3,4,5,7,5,6,4
05/08/2019 18:57:51,green,red,yes,Female,1,4,8,10,2,7,9,10,5,8,10,10
05/08/2019 18:58:40,brown,brown,no,Male,3,5,6,7,7,4,6,7,2,5,6,9
05/08/2019 18:59:23,green,brown,no,Female,6,9,10,10,5,9,9,10,3,7,8,9
05/08/2019 19:00:05,grey,blond,no,Female,2,7,6,10,2,4,8,10,2,7,7,8
05/08/2019 19:00:54,black,brown,no,Male,3,5,6,7,3,5,6,5,2,4,6,6
05/08/2019 19:01:50,black,brown,no,Male,3,5,6,7,3,5,6,5,2,4,6,6
05/08/2019 19:02:37,brown,blond,no,Female,3,6,7,10,2,8,8,10,3,6,9,10
05/08/2019 20:17:51,brown,blond,yes,Male,5,6,7,8,4,5,6,7,3,6,7,7
05/08/2019 20:32:38,brown,brown,yes,Male,3,5,8,10,5,6,8,8,4,7,7,9
05/08/2019 20:32:41,blue,red,no,Female,4,6,8,8,1,5,7,7,6,8,8,8
05/08/2019 23:47:01,black,black,no,Male,1,1,6,7,1,1,2,3,1,1,7,9
06/08/2019 07:36:17,green,blond,yes,Female,6,8,9,10,1,7,9,10,2,8,9,10
06/08/2019 08:59:15,blue,black,no,Male,1,10,10,10,1,2,3,3,8,9,9,9
06/08/2019 10:45:43,blue,blond,yes,Female,5,7,8,9,5,6,8,9,7,8,8,9
06/08/2019 12:08:39,blue,blond,no,Male,4,5,6,7,2,4,6,8,2,4,4,5
07/08/2019 14:27:39,blue,blond,no,Female,2,7,9,10,1,5,8,9,2,3,7,10
07/08/2019 14:30:26,black,black,no,Female,3,6,7,8,1,6,7,8,3,7,8,9
07/08/2019 14:31:51,brown,brown,no,Male,2,5,8,9,1,7,8,10,1,5,6,7
07/08/2019 14:32:40,green,brown,yes,Male,5,8,9,10,5,8,9,10,2,6,8,9
07/08/2019 14:33:38,black,black,no,Male,1,3,5,6,1,4,5,6,1,2,3,4
07/08/2019 20:09:50,blue,brown,yes,Male,4,7,7,7,2,5,7,8,7,8,8,9
08/08/2019 09:29:44,blue,blond,yes,Male,9,6,3,2,7,4,3,2,9,6,4,3
08/08/2019 09:30:14,green,brown,no,Male,10,8,5,2,10,6,2,1,8,5,4,3
13/08/2019 20:16:38,blue,blond,no,Female,6,6,7,9,4,5,6,7,6,7,7,8
15/08/2019 09:00:15,brown,brown,no,Male,4,7,7,7,5,8,8,8,7,8,8,8
