Thu. Aug. 20, 2020             LANDSAT 5                 Time: 18:58
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 194 / 026

L0R Reference Image: L51KIS1011288090100_HDF.202231408
Acquisition Date: Oct 15, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
193   026   09-13-1999, 10-03-2015
193   027   09-13-1999, 07-31-2015
194   025   09-04-1999, 08-23-2015
194   026   08-24-2001, 03-13-2014
194   027   08-24-2001, 08-01-2013
195   025   09-11-1999, 10-01-2015
195   026   09-11-1999, 10-01-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1930260002_01   49.365616   11.178377   393.654       0.273    -2.972     0.860    -2.855
1930260004_01   49.253640   11.233285   433.435      -2.926    -1.908    -2.485    -2.458
1930260009_01   48.366985   10.873702   534.332      -3.391     3.765    -4.082     2.997
1930260012_01   48.886874   10.966910   634.525      -3.566    -6.003    -2.283    -6.592
1930260014_01   48.449661   10.220904   527.507      -1.877     0.762    -1.992     0.366
1930260024_01   48.247868   10.218193   573.309       0.365    -1.444     0.647    -1.339
1930260029_01   49.473636   11.010328   349.813      -6.629    -0.832    -6.325    -2.148
1930260032_01   49.244483   11.086949   374.555       5.384    -3.148     5.899    -1.998
1930260036_01   49.113199   11.438373   433.578       1.770     4.701     0.781     4.957
1930260039_01   49.484152   10.724911   376.123      -3.283    -2.547    -2.704    -3.153
1930260040_01   48.306359   10.145177   554.647       0.219    -2.494     0.717    -2.395
1930260045_01   49.439768   11.092635   372.575      -0.142     1.665    -0.477     1.600
1930260046_01   48.455389   10.653241   535.815      -0.159    -2.684     0.383    -2.659
1930260050_01   48.774846   11.115289   543.576       5.714     2.447     5.092     3.547
1930260051_01   49.417820   11.112354   376.064      -4.865    -1.818    -4.401    -2.759
1930260053_01   48.486727   10.667625   496.606       1.780    -0.259     1.790     0.106
1930260062_01   48.651782   10.296612   533.159      -2.333     4.581    -3.208     4.010
1930260063_01   48.322589   10.914580   542.301      -2.797     1.951    -3.135     1.342
