==============================================================================
==============================================================================
Thu. Aug. 20 2020                  LANDSAT 5                       Time: 19:00
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 194 / 26
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 92.7%
Rank   2 --  7.3%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1940260016   49.82026      9.07688     0.27      0.00     0.27     1 
1940260091   49.79436      9.07684     0.05     -0.02     0.05     1 
1940260092   49.79432      9.12144    -0.16      0.00     0.16     1 
1940260093   49.79427      9.16604     0.22     -0.02     0.22     1 
1940260094   49.79420      9.21064    -0.36     -0.27     0.45     1 
1940260166   49.76846      9.07679    -0.08     -0.25     0.26     1 
1940260167   49.76842      9.12137     0.01     -0.06     0.06     1 
1940260168   49.76836      9.16595    -0.10     -0.07     0.12     1 
1940260169   49.76829      9.21052    -0.37     -0.04     0.37     1 
1940260171   49.76810      9.29968    -0.08      0.04     0.09     1 
1940260172   49.76797      9.34425     0.13     -0.06     0.14     1 
1940260173   49.76783      9.38883     0.22     -0.05     0.23     1 
1940260174   49.76767      9.43340     0.05     -0.21     0.21     1 
1940260175   49.76750      9.47798     0.27     -0.32     0.42     1 
1940260240   49.74257      9.03220    -0.40      0.16     0.43     1 
1940260241   49.74255      9.07675    -0.00     -0.09     0.09     1 
1940260242   49.74251      9.12131    -0.01     -0.17     0.17     1 
1940260243   49.74246      9.16586    -0.34     -0.07     0.35     1 
1940260244   49.74239      9.21041    -0.28      0.17     0.33     1 
1940260246   49.74219      9.29952     0.11     -0.11     0.15     1 
1940260247   49.74207      9.34407    -0.09      0.11     0.14     1 
1940260248   49.74193      9.38862    -0.14     -0.16     0.21     1 
1940260249   49.74177      9.43317    -0.19     -0.16     0.25     1 
1940260251   49.74140      9.52227    -0.38     -0.08     0.39     1 
1940260252   49.74119      9.56682    -0.01     -0.09     0.10     1 
1940260253   49.74097      9.61137    -0.29     -0.04     0.29     1 
1940260254   49.74072      9.65592    -0.35     -0.34     0.49     1 
1940260315   49.71667      9.03218    -0.17      0.02     0.17     1 
1940260316   49.71665      9.07671    -0.27     -0.20     0.34     1 
1940260317   49.71661      9.12124    -0.15     -0.20     0.25     1 
1940260318   49.71655      9.16577    -0.44     -0.00     0.44     1 
1940260319   49.71648      9.21030    -0.03     -0.10     0.11     1 
1940260320   49.71639      9.25483    -0.08     -0.02     0.08     1 
1940260321   49.71629      9.29936    -0.23     -0.04     0.24     1 
1940260323   49.71602      9.38841    -0.54     -0.40     0.67     2 
1940260324   49.71587      9.43294    -0.35     -0.25     0.43     1 
1940260326   49.71550      9.52199    -0.03     -0.31     0.31     1 
1940260328   49.71506      9.61105    -0.54      0.04     0.55     2 
1940260329   49.71482      9.65557    -0.38     -0.25     0.45     1 
1940260330   49.71456      9.70009    -0.25     -0.18     0.30     1 
1940260331   49.71428      9.74462    -0.35      0.02     0.35     1 
1940260333   49.71367      9.83366    -0.29      0.06     0.30     1 
1940260390   49.69076      9.03217    -0.31     -0.12     0.33     1 
1940260391   49.69074      9.07667    -0.23     -0.01     0.23     1 
1940260392   49.69071      9.12118    -0.18     -0.10     0.21     1 
1940260393   49.69065      9.16568    -0.15      0.12     0.19     1 
1940260394   49.69058      9.21019    -0.11     -0.23     0.26     1 
1940260395   49.69049      9.25469    -0.28     -0.13     0.30     1 
1940260396   49.69038      9.29920    -0.42     -0.17     0.46     1 
1940260397   49.69026      9.34370    -0.38     -0.11     0.39     1 
1940260398   49.69012      9.38821    -0.28      0.19     0.33     1 
1940260399   49.68996      9.43271    -0.25     -0.18     0.31     1 
1940260400   49.68979      9.47721    -0.25     -0.20     0.32     1 
1940260401   49.68959      9.52172    -0.22     -0.12     0.25     1 
1940260402   49.68939      9.56622    -0.28     -0.16     0.32     1 
1940260403   49.68916      9.61072    -0.19     -0.19     0.27     1 
